0.200032	 9.523810e-001
0.150003	 6.300630e-001
0.200032	 9.523810e-001
0.150003	 6.300630e-001
0.200032	 9.523810e-001
0.150003	 6.300630e-001
0.112486	 1.847941e-001
0.0843528	 2.662812e-002
0.200032	 9.523810e-001
0.150003	 6.300630e-001
0.200032	 9.523810e-001
0.150003	 6.311993e-001
0.112486	 1.881215e-001
0.0843528	 2.870617e-002
0.0632557	 2.727843e-003
0.200032	 9.523810e-001
0.150003	 6.311993e-001
0.200032	 9.523810e-001
0.150003	 6.311993e-001
0.200032	 9.523810e-001
0.150003	 6.311993e-001
0.112486	 1.881215e-001
0.0843528	 2.870617e-002
0.0632557	 2.727843e-003
0.200032	 9.523810e-001
0.150003	 6.311993e-001
0.112486	 1.881215e-001
0.200032	 9.523810e-001
0.150003	 6.311993e-001
0.112486	 1.881215e-001
0.200032	 9.523810e-001
0.150003	 6.311993e-001
0.112486	 1.881215e-001
0.200032	 9.523810e-001
0.150003	 6.311993e-001
0.112486	 1.881215e-001
0.0843528	 2.870617e-002
0.200032	 9.523810e-001
0.150003	 6.311993e-001
0.112486	 1.881215e-001
0.200032	 9.523810e-001
0.150003	 6.311993e-001
0.112486	 1.881215e-001
0.0843528	 2.870617e-002
0.0632557	 2.727843e-003
