175 84
2 4
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 
1	0	
2	0	
3	0	
4	0	
5	0	
6	0	
7	0	
8	0	
9	0	
10	0	
11	0	
12	0	
13	0	
14	0	
15	0	
16	0	
17	0	
18	0	
19	0	
20	0	
21	0	
22	0	
23	0	
24	0	
25	0	
26	0	
27	0	
28	0	
1	29	
2	30	
3	31	
4	32	
5	33	
6	34	
7	35	
8	36	
9	37	
10	38	
11	39	
12	40	
13	41	
14	42	
15	43	
16	44	
17	45	
18	46	
19	47	
20	48	
21	49	
22	50	
23	51	
24	52	
25	53	
26	54	
27	55	
28	56	
29	57	
30	58	
31	59	
32	60	
33	61	
34	62	
35	63	
36	64	
37	65	
38	66	
39	67	
40	68	
41	69	
42	70	
43	71	
44	72	
45	73	
46	74	
47	75	
48	76	
49	77	
50	78	
51	79	
52	80	
53	81	
54	82	
55	83	
56	84	
57	0	
58	0	
59	0	
60	0	
61	0	
62	0	
63	0	
64	0	
65	0	
66	0	
67	0	
68	0	
69	0	
70	0	
71	0	
72	0	
73	0	
74	0	
75	0	
76	0	
77	0	
78	0	
79	0	
80	0	
81	0	
82	0	
83	0	
84	0	
1	8	
2	9	
3	10	
4	11	
5	12	
6	13	
7	14	
8	15	
9	16	
10	17	
11	18	
12	19	
13	20	
14	21	
15	22	
16	23	
17	24	
18	25	
19	26	
20	27	
21	28	
29	36	
30	37	
31	38	
32	39	
33	40	
34	41	
35	42	
36	43	
37	44	
38	45	
39	46	
40	47	
41	48	
42	49	
43	50	
44	51	
45	52	
46	53	
47	54	
48	55	
49	56	
57	64	
58	65	
59	66	
60	67	
61	68	
62	69	
63	70	
64	71	
65	72	
66	73	
67	74	
68	75	
69	76	
70	77	
71	78	
72	79	
73	80	
74	81	
75	82	
76	83	
77	84	
1	29	113	0	
2	30	114	0	
3	31	115	0	
4	32	116	0	
5	33	117	0	
6	34	118	0	
7	35	119	0	
8	36	113	120	
9	37	114	121	
10	38	115	122	
11	39	116	123	
12	40	117	124	
13	41	118	125	
14	42	119	126	
15	43	120	127	
16	44	121	128	
17	45	122	129	
18	46	123	130	
19	47	124	131	
20	48	125	132	
21	49	126	133	
22	50	127	0	
23	51	128	0	
24	52	129	0	
25	53	130	0	
26	54	131	0	
27	55	132	0	
28	56	133	0	
29	57	134	0	
30	58	135	0	
31	59	136	0	
32	60	137	0	
33	61	138	0	
34	62	139	0	
35	63	140	0	
36	64	134	141	
37	65	135	142	
38	66	136	143	
39	67	137	144	
40	68	138	145	
41	69	139	146	
42	70	140	147	
43	71	141	148	
44	72	142	149	
45	73	143	150	
46	74	144	151	
47	75	145	152	
48	76	146	153	
49	77	147	154	
50	78	148	0	
51	79	149	0	
52	80	150	0	
53	81	151	0	
54	82	152	0	
55	83	153	0	
56	84	154	0	
57	85	155	0	
58	86	156	0	
59	87	157	0	
60	88	158	0	
61	89	159	0	
62	90	160	0	
63	91	161	0	
64	92	155	162	
65	93	156	163	
66	94	157	164	
67	95	158	165	
68	96	159	166	
69	97	160	167	
70	98	161	168	
71	99	162	169	
72	100	163	170	
73	101	164	171	
74	102	165	172	
75	103	166	173	
76	104	167	174	
77	105	168	175	
78	106	169	0	
79	107	170	0	
80	108	171	0	
81	109	172	0	
82	110	173	0	
83	111	174	0	
84	112	175	0	
