288 138
3 6
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 3 3 3 3 3 3 3 3 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 3 3 3 2 2 3 3 3 3 3 2 2 3 2 2 2 2 3 3 3 2 2 3 3 3 3 3 3 3 3 2 2 1 1 3 3 3 3 3 3 3 3 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 3 3 3 3 3 3 3 3 3 2 2 2 3 3 3 3 3 3 3 2 1 
6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 
6	11	109	
7	12	110	
1	8	111	
2	9	112	
3	10	113	
4	11	114	
5	12	115	
1	6	116	
2	7	117	
3	8	118	
4	9	119	
5	10	120	
18	23	121	
19	24	122	
13	20	123	
14	21	124	
15	22	125	
16	23	126	
17	24	127	
13	18	128	
14	19	129	
15	20	130	
16	21	0	
17	22	0	
30	35	131	
31	36	132	
25	32	133	
26	33	134	
27	34	135	
28	35	136	
29	36	137	
25	30	138	
26	31	0	
27	32	0	
28	33	0	
29	34	0	
1	42	47	
2	43	48	
3	37	44	
4	38	45	
5	39	46	
6	40	47	
7	41	48	
8	37	42	
9	38	43	
10	39	44	
11	40	45	
12	41	46	
13	54	59	
14	55	60	
15	49	56	
16	50	57	
17	51	58	
18	52	59	
19	53	60	
20	49	54	
21	50	55	
22	51	56	
23	52	57	
24	53	58	
25	66	71	
26	67	72	
27	61	68	
28	62	69	
29	63	70	
30	64	71	
31	65	72	
32	61	66	
33	62	67	
34	63	68	
35	64	69	
36	65	70	
37	78	83	
38	79	84	
39	73	80	
40	74	81	
41	75	82	
42	76	83	
43	77	84	
44	73	78	
45	74	79	
46	75	80	
47	76	81	
48	77	82	
49	90	95	
50	91	96	
51	85	92	
52	86	93	
53	87	94	
54	88	95	
55	89	96	
56	85	90	
57	86	91	
58	87	92	
59	88	93	
60	89	94	
61	102	107	
62	103	108	
63	97	104	
64	98	105	
65	99	106	
66	100	107	
67	101	108	
68	97	102	
69	98	103	
70	99	104	
71	100	105	
72	101	106	
73	114	119	
74	115	120	
75	109	116	
76	110	117	
77	111	118	
78	112	119	
79	113	120	
80	109	114	
81	110	115	
82	111	116	
83	112	117	
84	113	118	
85	126	0	
86	127	0	
87	121	128	
