175 84
2 4
1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 
1	0	
2	0	
3	0	
4	0	
5	0	
6	0	
7	0	
1	8	
2	9	
3	10	
4	11	
5	12	
6	13	
7	14	
8	15	
9	16	
10	17	
11	18	
12	19	
13	20	
14	21	
15	0	
16	0	
17	0	
18	0	
19	0	
20	0	
21	0	
22	0	
23	0	
24	0	
25	0	
26	0	
27	0	
28	0	
22	29	
23	30	
24	31	
25	32	
26	33	
27	34	
28	35	
29	36	
30	37	
31	38	
32	39	
33	40	
34	41	
35	42	
36	0	
37	0	
38	0	
39	0	
40	0	
41	0	
42	0	
43	0	
44	0	
45	0	
46	0	
47	0	
48	0	
49	0	
43	50	
44	51	
45	52	
46	53	
47	54	
48	55	
49	56	
50	57	
51	58	
52	59	
53	60	
54	61	
55	62	
56	63	
57	0	
58	0	
59	0	
60	0	
61	0	
62	0	
63	0	
64	0	
65	0	
66	0	
67	0	
68	0	
69	0	
70	0	
64	71	
65	72	
66	73	
67	74	
68	75	
69	76	
70	77	
71	78	
72	79	
73	80	
74	81	
75	82	
76	83	
77	84	
78	0	
79	0	
80	0	
81	0	
82	0	
83	0	
84	0	
1	22	
2	23	
3	24	
4	25	
5	26	
6	27	
7	28	
8	29	
9	30	
10	31	
11	32	
12	33	
13	34	
14	35	
15	36	
16	37	
17	38	
18	39	
19	40	
20	41	
21	42	
22	43	
23	44	
24	45	
25	46	
26	47	
27	48	
28	49	
29	50	
30	51	
31	52	
32	53	
33	54	
34	55	
35	56	
36	57	
37	58	
38	59	
39	60	
40	61	
41	62	
42	63	
43	64	
44	65	
45	66	
46	67	
47	68	
48	69	
49	70	
50	71	
51	72	
52	73	
53	74	
54	75	
55	76	
56	77	
57	78	
58	79	
59	80	
60	81	
61	82	
62	83	
63	84	
1	8	113	0	
2	9	114	0	
3	10	115	0	
4	11	116	0	
5	12	117	0	
6	13	118	0	
7	14	119	0	
8	15	120	0	
9	16	121	0	
10	17	122	0	
11	18	123	0	
12	19	124	0	
13	20	125	0	
14	21	126	0	
15	22	127	0	
16	23	128	0	
17	24	129	0	
18	25	130	0	
19	26	131	0	
20	27	132	0	
21	28	133	0	
29	36	113	134	
30	37	114	135	
31	38	115	136	
32	39	116	137	
33	40	117	138	
34	41	118	139	
35	42	119	140	
36	43	120	141	
37	44	121	142	
38	45	122	143	
39	46	123	144	
40	47	124	145	
41	48	125	146	
42	49	126	147	
43	50	127	148	
44	51	128	149	
45	52	129	150	
46	53	130	151	
47	54	131	152	
48	55	132	153	
49	56	133	154	
57	64	134	155	
58	65	135	156	
59	66	136	157	
60	67	137	158	
61	68	138	159	
62	69	139	160	
63	70	140	161	
64	71	141	162	
65	72	142	163	
66	73	143	164	
67	74	144	165	
68	75	145	166	
69	76	146	167	
70	77	147	168	
71	78	148	169	
72	79	149	170	
73	80	150	171	
74	81	151	172	
75	82	152	173	
76	83	153	174	
77	84	154	175	
85	92	155	0	
86	93	156	0	
87	94	157	0	
88	95	158	0	
89	96	159	0	
90	97	160	0	
91	98	161	0	
92	99	162	0	
93	100	163	0	
94	101	164	0	
95	102	165	0	
96	103	166	0	
97	104	167	0	
98	105	168	0	
99	106	169	0	
100	107	170	0	
101	108	171	0	
102	109	172	0	
103	110	173	0	
104	111	174	0	
105	112	175	0	
